directions_detail_pattern_id,pattern,directions_detail_id,sequence_no,created_id,created_at,updated_id,updated_at
3115,0,3115,2,1,2016-06-30 12:02:36,1,2016-11-11 00:00:00
3116,0,3116,1,1,2016-07-20 16:24:48,1,2016-11-11 00:00:00
3117,0,3117,2,1,2016-07-20 16:24:48,1,2016-11-11 00:00:00
3118,0,3118,3,1,2016-07-20 16:24:48,1,2016-11-11 00:00:00
3119,0,3119,1,1,2016-06-21 10:25:40,1,2016-11-11 00:00:00
3120,0,3120,2,1,2016-06-21 10:25:40,1,2016-11-11 00:00:00
3121,0,3121,3,1,2016-06-21 10:25:40,1,2016-11-11 00:00:00
3125,0,3125,1,1,2016-10-19 10:27:33,1,2016-11-11 00:00:00
3126,0,3126,2,1,2016-10-19 10:27:33,1,2016-11-11 00:00:00
3127,0,3127,3,1,2016-10-19 10:27:33,1,2016-11-11 00:00:00
3144,0,3144,1,1,2016-08-31 11:04:22,1,2016-11-11 00:00:00
3145,0,3145,2,1,2016-08-31 11:04:22,1,2016-11-11 00:00:00
3146,0,3146,3,1,2016-08-31 11:04:22,1,2016-11-11 00:00:00
3147,0,3147,4,1,2016-08-31 11:04:22,1,2016-11-11 00:00:00
3152,0,3152,1,1,2016-09-21 09:23:19,1,2016-11-11 00:00:00
3153,0,3153,2,1,2016-09-21 09:23:19,1,2016-11-11 00:00:00
3154,0,3154,3,1,2016-09-21 09:23:19,1,2016-11-11 00:00:00
3155,0,3155,4,1,2016-09-21 09:23:19,1,2016-11-11 00:00:00
3169,0,3169,1,1,2016-11-10 10:07:02,1,2016-11-11 00:00:00
3170,0,3170,2,1,2016-11-10 10:07:02,1,2016-11-11 00:00:00
3171,0,3171,3,1,2016-11-10 10:07:02,1,2016-11-11 00:00:00
3195,0,3195,1,1,2016-06-29 15:55:24,1,2016-11-11 00:00:00
3196,0,3196,2,1,2016-06-29 15:55:24,1,2016-11-11 00:00:00
3197,0,3197,3,1,2016-06-29 15:55:24,1,2016-11-11 00:00:00
3198,0,3198,4,1,2016-06-29 15:55:24,1,2016-11-11 00:00:00
3199,0,3199,1,1,2016-10-31 14:18:14,1,2016-11-11 00:00:00
3200,0,3200,2,1,2016-10-31 14:18:14,1,2016-11-11 00:00:00
3201,0,3201,3,1,2016-10-31 14:18:14,1,2016-11-11 00:00:00
3202,0,3202,4,1,2016-10-31 14:18:14,1,2016-11-11 00:00:00
3203,0,3203,5,1,2016-10-31 14:18:14,1,2016-11-11 00:00:00
3208,0,3208,1,1,2016-07-12 16:26:13,1,2016-11-11 00:00:00
3209,0,3209,2,1,2016-07-12 16:26:13,1,2016-11-11 00:00:00
3210,0,3210,3,1,2016-07-12 16:26:13,1,2016-11-11 00:00:00
3211,0,3211,1,1,2016-07-12 16:40:16,1,2016-11-11 00:00:00
3212,0,3212,2,1,2016-07-12 16:40:16,1,2016-11-11 00:00:00
3213,0,3213,3,1,2016-07-12 16:40:16,1,2016-11-11 00:00:00
3214,0,3214,4,1,2016-07-12 16:40:16,1,2016-11-11 00:00:00
3215,0,3215,5,1,2016-07-12 16:40:16,1,2016-11-11 00:00:00
3222,0,3222,1,1,2016-10-05 08:53:12,1,2016-11-11 00:00:00
3223,0,3223,2,1,2016-10-05 08:53:12,1,2016-11-11 00:00:00
3224,0,3224,3,1,2016-10-05 08:53:12,1,2016-11-11 00:00:00
