ingredient_season_id,ingredient_id,season_start,season_end,created_id,created_at,updated_id,updated_at
368,43,701,931,3,2016-12-06 16:24:50,3,2016-12-06 16:24:50
370,45,601,930,3,2016-12-06 16:29:13,3,2016-12-06 16:29:13
371,46,601,831,3,2016-12-06 16:32:58,3,2016-12-06 16:32:58
372,47,601,930,3,2016-12-06 16:35:32,3,2016-12-06 16:35:32
373,48,601,915,3,2016-12-06 16:37:37,3,2016-12-06 16:37:37
376,51,601,930,3,2016-12-07 11:09:31,3,2016-12-07 11:09:31
377,52,401,630,3,2016-12-07 11:11:26,3,2016-12-07 11:11:26
378,54,101,1231,3,2016-12-07 11:15:00,3,2016-12-07 11:15:00
379,54,1001,1031,3,2016-12-07 11:15:00,3,2016-12-07 11:15:00
380,55,901,1130,3,2016-12-07 11:17:43,3,2016-12-07 11:17:43
381,56,301,615,3,2016-12-07 11:18:28,3,2016-12-07 11:18:28
382,57,615,915,3,2016-12-07 11:20:30,3,2016-12-07 11:20:30
383,58,1001,228,3,2016-12-07 11:21:51,3,2016-12-07 11:21:51
384,59,901,1130,3,2016-12-07 11:23:44,3,2016-12-07 11:23:44
385,60,601,930,3,2016-12-07 11:24:24,3,2016-12-07 11:24:24
386,61,615,915,3,2016-12-07 11:25:43,3,2016-12-07 11:25:43
387,63,1015,131,3,2016-12-07 11:30:24,3,2016-12-07 11:30:24
388,63,401,630,3,2016-12-07 11:30:24,3,2016-12-07 11:30:24
389,64,1101,228,3,2016-12-07 11:33:05,3,2016-12-07 11:33:05
390,65,1001,1231,3,2016-12-07 11:36:34,3,2016-12-07 11:36:34
391,66,1101,228,3,2016-12-07 11:38:10,3,2016-12-07 11:38:10
393,68,901,1130,3,2016-12-07 11:46:25,3,2016-12-07 11:46:25
394,69,401,630,3,2016-12-07 11:48:00,3,2016-12-07 11:48:00
395,69,1001,1130,3,2016-12-07 11:48:00,3,2016-12-07 11:48:00
396,70,101,1231,3,2016-12-07 11:51:28,3,2016-12-07 11:51:28
397,71,315,531,3,2016-12-07 11:53:23,3,2016-12-07 11:53:23
398,72,1101,1231,3,2016-12-07 11:56:19,3,2016-12-07 11:56:19
399,72,401,531,3,2016-12-07 11:56:19,3,2016-12-07 11:56:19
400,73,1001,131,3,2016-12-07 11:58:21,3,2016-12-07 11:58:21
401,74,101,1231,3,2016-12-07 12:01:06,3,2016-12-07 12:01:06
402,74,1101,1231,3,2016-12-07 12:01:06,3,2016-12-07 12:01:06
