recipe_ingredient_id,recipe_id,ingredient_id,holiday_flag,mark_id,created_id,created_at,updated_id,updated_at
36133,2306,291,1,1,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36134,2306,289,1,1,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36135,2306,332,0,,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36136,2308,607,1,,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36137,2308,45,1,,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36138,2308,83,1,,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36139,2308,289,1,1,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36140,2308,296,1,1,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36141,2308,293,1,1,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36142,2308,291,1,1,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36143,2308,302,1,1,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36144,2308,312,1,1,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36145,2308,334,1,,9,2017-06-01 16:32:44,9,2017-06-01 16:32:44
36146,2314,11,0,,9,2017-06-01 16:33:12,9,2017-06-01 16:33:12
36147,2314,458,0,,9,2017-06-01 16:33:12,9,2017-06-01 16:33:12
36148,2314,296,0,1,9,2017-06-01 16:33:12,9,2017-06-01 16:33:12
36149,2314,291,0,1,9,2017-06-01 16:33:12,9,2017-06-01 16:33:12
36150,2314,293,0,1,9,2017-06-01 16:33:12,9,2017-06-01 16:33:12
36151,2314,289,0,1,9,2017-06-01 16:33:12,9,2017-06-01 16:33:12
36152,2314,317,0,1,9,2017-06-01 16:33:12,9,2017-06-01 16:33:12
36153,2322,120,1,,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36154,2322,70,0,,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36155,2322,198,0,,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36156,2322,459,0,,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36157,2322,289,1,2,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36158,2322,296,1,2,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
36159,2322,293,1,2,9,2017-06-01 16:33:57,9,2017-06-01 16:33:57
