directions_detail_pattern_id,previous_process,created_id,created_at,updated_id,updated_at,previous_dependence_level
86853,2,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86854,3,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86882,0,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86883,1,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86884,2,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86885,3,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86886,4,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86887,5,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86888,0,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86889,1,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86890,2,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86891,0,11,2017-12-11 14:28:07,11,2017-12-11 14:28:07,0
86892,3,11,2017-12-11 14:28:08,11,2017-12-11 14:28:08,0
86892,4,11,2017-12-11 14:28:08,11,2017-12-11 14:28:08,0
86893,5,11,2017-12-11 14:28:08,11,2017-12-11 14:28:08,0
86894,6,11,2017-12-11 14:28:08,11,2017-12-11 14:28:08,0
86986,0,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86987,1,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86988,2,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86989,3,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86990,4,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86991,0,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86992,1,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86993,2,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86994,3,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
86995,4,11,2017-12-12 10:52:44,11,2017-12-12 10:52:44,0
87109,0,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87110,1,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87111,2,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87112,3,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87113,4,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87114,0,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87115,0,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87116,0,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87117,1,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87117,2,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87117,3,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87118,4,11,2017-12-12 14:03:23,11,2017-12-12 14:03:23,0
87171,0,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87172,1,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87173,1,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87174,2,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87174,3,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87175,0,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87176,0,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87177,1,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87178,2,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87178,3,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87179,4,11,2017-12-13 09:59:27,11,2017-12-13 09:59:27,0
87241,0,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87242,1,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87243,2,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
87244,3,11,2017-12-13 11:09:26,11,2017-12-13 11:09:26,0
